#  2013  1 28 13 34 11.14  37.6232 -119.0227    2.690  0.03 0.00 0.00 0.00          1
#  2013  1 17 12 45 19.30  37.6357 -119.0608    3.540 -0.09 0.00 0.00 0.00         24
MCY 1.960 1.00   S
MCY 1.000 1.00   P
MDC 1.820 1.00   P
MINS 1.765 1.00   S
MINS 1.065 1.00   P
MMS 1.180 1.00   P
MQ1P 1.045 1.00   P
MRD 1.220 1.00   P
#  2013  1 16 10 21 10.32  37.6312 -119.1275    8.400  0.28 0.00 0.00 0.00         25
MDC 1.600 1.00   P
MINS 2.705 1.00   S
MINS 1.125 1.00   P
MMS 1.300 1.00   P
MQ1P 1.085 1.00   P
MRD 1.000 1.00   P
#  2012 10  1  6 12 34.84  37.6335 -119.0373    2.800  1.67 0.00 0.00 0.00         26
MCY 1.000 1.00   P
MDC 1.900 1.00   P
MINS 1.865 1.00   S
MINS 1.165 1.00   P
MMP 1.020 1.00   P
MMS 1.160 1.00   P
MQ1P 1.000 1.00   P
MRD 1.300 1.00   P
#  2012 12 14 17  6 10.40  37.6335 -119.0242   16.780  0.78 0.00 0.00 0.00         27
MCM 1.780 1.00   P
MDC 1.240 1.00   P
MDPB 3.380 1.00   S
MDPB 1.000 1.00   P
MINS 3.425 1.00   S
MINS 1.045 1.00   P
MLC 1.480 1.00   P
MQ1P 1.125 1.00   P
MRD 1.040 1.00   P
#  2012 11 11  5 30 30.88  37.5968 -119.0055    3.270  0.06 0.00 0.00 0.00         28
MDPB 3.020 1.00   S
MDPB 1.800 1.00   P
MINS 1.945 1.00   P
MMP 1.000 1.00   P
MMS 1.480 1.00   P
MQ1P 1.000 1.00   P
MRD 1.300 1.00   P
OMMB 1.465 1.00   S
#  2012 10 29 12 17  4.24  37.6247 -119.0545   23.000  0.89 0.00 0.00 0.00         32
MCM 1.820 1.00   P
MCV 2.200 1.00   P
MDC 1.340 1.00   P
MDPB 4.060 1.00   S
MDPB 1.120 1.00   P
MGPB 1.740 1.00   P
MINS 4.165 1.00   S
MINS 1.105 1.00   P
MLC 1.520 1.00   P
MMP 1.040 1.00   P
MMS 1.000 1.00   P
MQ1P 1.040 1.00   P
MRD 1.020 1.00   P
OMMB 3.945 1.00   S
OMMB 1.005 1.00   P
#  2012 12 27 10  8 36.30  37.6283 -119.1395    8.620  0.51 0.00 0.00 0.00         33
MCM 3.340 1.00   P
MCV 4.080 1.00   P
MDC 1.420 1.00   P
MINS 2.845 1.00   S
MINS 1.105 1.00   P
MLI 1.565 1.00   P
MMS 1.280 1.00   P
MQ1P 1.465 1.00   P
MRD 1.000 1.00   P
#  2013  1 21  4 11 31.76  37.6378 -119.0557    7.300 -0.14 0.00 0.00 0.00         34
MCY 1.180 1.00   P
MDC 1.580 1.00   P
MDPB 2.100 1.00   S
MDPB 1.000 1.00   P
MINS 2.345 1.00   S
MINS 1.085 1.00   P
MMS 1.160 1.00   P
MQ1P 1.245 1.00   P
MRD 1.200 1.00   P
OMMB 2.600 1.00   S
#  2012 12 31 22 45 34.34  37.6488 -119.0450   16.090  0.37 0.00 0.00 0.00         35
MCM 2.135 1.00   P
MCV 2.815 1.00   P
MDC 1.615 1.00   P
MDY 1.060 1.00   P
MINS 3.340 1.00   S
MINS 1.160 1.00   P
MMS 1.115 1.00   P
MQ1P 1.000 1.00   P
MRD 1.035 1.00   P
#  2012 12 27  6 59  8.72  37.6482 -119.0072    6.550  0.01 0.00 0.00 0.00         36
MCM 2.080 1.00   P
MDC 1.460 1.00   P
MDY 1.105 1.00   P
MEM 1.580 1.00   P
MINS 2.365 1.00   S
MINS 1.165 1.00   P
MLK 1.180 1.00   P
MMLB 1.000 1.00   P
MMS 1.220 1.00   P
MRD 1.460 1.00   P
#  2013  1  5 12 16  5.74  37.6425 -119.1858    8.430  0.50 0.00 0.00 0.00         37
MCM 3.620 1.00   P
MDC 1.380 1.00   P
MDY 1.685 1.00   P
MINS 3.065 1.00   S
MINS 1.305 1.00   P
MRD 1.000 1.00   P
#  2012 11 22  3 44 38.38  37.6373 -119.0467   14.980  0.38 0.00 0.00 0.00         38
MCM 1.940 1.00   P
MCV 2.460 1.00   P
MDC 1.620 1.00   P
MDPB 3.020 1.00   S
MDPB 1.000 1.00   P
MINS 3.185 1.00   S
MMP 1.480 1.00   P
MMS 1.460 1.00   P
MQ1P 3.440 1.00   S
MQ1P 1.480 1.00   P
MRD 1.080 1.00   P
OMMB 3.025 1.00   S
#  2013  1 22  9 23 17.30  37.6388 -119.0532    7.180 -0.16 0.00 0.00 0.00         39
MDC 1.560 1.00   P
MDPB 2.060 1.00   S
MDPB 1.000 1.00   P
MINS 2.285 1.00   S
MMS 1.240 1.00   P
MQ1P 1.185 1.00   P
MRD 1.180 1.00   P
OMMB 2.560 1.00   S
OMMB 1.260 1.00   P
#  2012 10 30  9  5 34.86  37.6183 -119.0085    2.160  0.06 0.00 0.00 0.00         40
MCY 1.555 1.00   P
MDC 2.735 1.00   P
MDPB 2.715 1.00   S
MINS 2.720 1.00   S
MMP 1.135 1.00   P
MMS 1.395 1.00   P
MQ1P 1.055 1.00   P
MRD 1.635 1.00   P
OMMB 1.280 1.00   S
OMMB 1.000 1.00   P
#  2013  1 16  3 56 17.14  37.6368 -119.0278   15.350  0.38 0.00 0.00 0.00         42
MDC 1.320 1.00   P
MINS 3.185 1.00   S
MINS 1.065 1.00   P
MQ1P 3.305 1.00   S
MRD 1.000 1.00   P
OMMB 3.040 1.00   S
#  2012 10  1  4 17 36.86  37.5978 -119.0055    3.900  0.36 0.00 0.00 0.00         43
MDC 2.820 1.00   P
MINS 1.965 1.00   P
MMP 1.020 1.00   P
MMS 1.460 1.00   P
MQ1P 1.000 1.00   P
MRD 1.320 1.00   P
#  2012 12 16  7 42  6.40  37.6340 -119.0557   15.600  0.31 0.00 0.00 0.00         46
MCM 2.260 1.00   P
MCV 2.800 1.00   P
MCY 1.120 1.00   P
MDC 1.540 1.00   P
MDPB 3.200 1.00   S
MDPB 1.000 1.00   P
MDY 1.325 1.00   P
MGPB 2.140 1.00   P
MINS 3.425 1.00   S
MINS 1.145 1.00   P
MLI 1.285 1.00   P
MQ1P 3.625 1.00   S
MQ1P 1.325 1.00   P
MRD 1.220 1.00   P
OMMB 3.440 1.00   S
OMMB 1.380 1.00   P
#  2012 10 22 15 34 46.04  37.6303 -119.0287    4.300  0.75 0.00 0.00 0.00         47
MCM 2.715 1.00   P
MCY 1.155 1.00   P
MDPB 2.080 1.00   S
MDPB 1.260 1.00   P
MDY 1.360 1.00   P
MINS 2.040 1.00   S
MINS 1.200 1.00   P
MLI 1.000 1.00   P
MMP 1.055 1.00   P
MMS 1.155 1.00   P
MQ1P 1.115 1.00   P
MRD 1.275 1.00   P
#  2012 10 10  1 53 18.50  37.6465 -119.0445    2.220  0.32 0.00 0.00 0.00         48
MCY 1.460 1.00   S
MCY 1.000 1.00   P
MDC 1.760 1.00   P
MDY 1.285 1.00   P
MINS 1.585 1.00   S
MINS 1.065 1.00   P
MLI 1.305 1.00   P
MMP 1.360 1.00   P
MMS 1.200 1.00   P
MQ1P 1.400 1.00   P
MRD 1.600 1.00   P
#  2012 10  4  4 35  8.60  37.6352 -119.0567    2.560  0.38 0.00 0.00 0.00         49
