Date,Time,Lat,Lon,Depth,Mag,Mt,Nst,Gap,Clo,RMS,Auth,Subsrc,DbId,JtId,Typ,Time UTC,Cluster,dt,Amplitude,FI
2009/01/25,19:15:46.2700,60.4698,-152.7347,4.37,0.4,l,0,187.0,1.0,0.06,AV,hypomag,60322868,,lp,2009/01/25 19:15:46.2700,,,,
2009/01/25,19:28:42.0500,60.4902,-152.7615,-3.0,0.8,l,0,138.0,3.0,0.15,AV,hypomag,60322888,,lp,2009/01/25 19:28:42.0500,,,,
2009/01/25,19:31:48.1900,60.4865,-152.7547,-0.47,0.2,l,0,130.0,3.0,0.32,AV,hypomag,60322893,,lp,2009/01/25 19:31:48.1900,,,,
2009/01/25,20:04:07.6600,60.4815,-152.7275,0.7,0.6,l,0,150.0,2.0,0.16,AV,hypomag,60322903,,lp,2009/01/25 20:04:07.6600,181,0.950004905462,7529.12501066,-0.0332433146735
2009/01/25,20:19:03.2900,60.4893,-152.7428,-3.0,0.1,l,0,115.0,3.0,0.27,AV,hypomag,60322918,,lp,2009/01/25 20:19:03.2900,,,,
2009/01/25,20:25:10.7900,60.5038,-152.7643,-1.76,0.3,l,0,132.0,2.0,0.26,AV,hypomag,60322923,,lp,2009/01/25 20:25:10.7900,,,,
2009/01/25,20:27:05.8000,60.46,-152.7403,3.62,1.2,l,0,245.0,1.0,0.03,AV,hypomag,60322933,,lp,2009/01/25 20:27:05.8000,181,1.37000866234,7752.80292741,-0.466555374364
2009/01/25,20:37:32.2900,60.4913,-152.75,1.88,0.6,l,0,182.0,3.0,0.06,AV,hypomag,60322948,,lp,2009/01/25 20:37:32.2900,181,0.929998978972,2426.18345892,-0.300037746628
2009/01/25,20:47:39.8500,60.47,-152.7688,3.75,0.9,l,0,178.0,1.0,0.29,AV,hypomag,60322958,,le,2009/01/25 20:47:39.8500,,,,
2009/01/25,21:15:25.1300,60.4718,-152.8048,-0.41,1.0,l,0,214.0,3.0,0.22,AV,hypomag,60322998,,lp,2009/01/25 21:15:25.1300,expired,-2.60999388993,NaN,NaN
2009/01/25,21:56:02.6600,60.4937,-152.702,-1.63,-0.2,l,0,136.0,1.0,0.19,AV,hypomag,60323018,,lp,2009/01/25 21:56:02.6600,,,,
2009/01/25,22:45:26.0900,60.4765,-152.7352,4.45,0.6,l,0,157.0,2.0,0.1,AV,hypomag,60323048,,lp,2009/01/25 22:45:26.0900,181,1.45000219345,6350.31555578,-0.339082300663
2009/01/25,22:50:02.3400,60.4932,-152.765,0.17,0.8,l,0,139.0,4.0,0.19,AV,hypomag,60323053,,lp,2009/01/25 22:50:02.3400,,,,
2009/01/25,22:51:06.8200,60.4628,-152.7567,-1.6,1.8,l,0,114.0,0.0,0.52,AV,hypomag,60323058,,lp,2009/01/25 22:51:06.8200,,,,
2009/01/25,23:07:15.2200,60.4718,-152.7578,3.35,0.4,l,0,143.0,1.0,0.18,AV,hypomag,60323068,,lp,2009/01/25 23:07:15.2200,,,,
2009/01/26,00:32:49.7100,60.2515,-152.7168,8.91,1.4,l,0,187.0,23.0,0.18,AV,hypomag,60323088,,ot,2009/01/26 00:32:49.7100,expired,-7.05999992788,NaN,NaN
2009/01/26,11:52:40.3900,60.4873,-152.753,-2.98,1.3,l,0,106.0,3.0,0.28,AV,hypomag,60323223,,lp,2009/01/26 11:52:40.3900,,,,
