event_number,year,month,day,hh,mm
0,2006,1,11,4,44
1,2006,1,11,5,12
2,2006,1,13,4,24
3,2006,1,13,6,47
4,2006,1,13,11,22
5,2006,1,13,16,40
6,2006,1,13,18,58
7,2006,1,14,0,14
8,2006,1,17,7,58
9,2006,1,27,20,24
10,2006,1,27,23,37
11,2006,1,28,2,4
12,2006,1,28,7,42
