Distance,Elevations,Latitude,Longitude
0,-2059.640380859375,52.07655,-176.55644
118.0207558472771,-2062.308349609375,52.07655642069074,-176.5547150323111
236.0415116945542,-2065.56005859375,52.07656281620341,-176.5529900641268
354.0622675418313,-2069.705810546875,52.07656918653799,-176.5512650954494
472.0830233891084,-2073.72802734375,52.07657553169447,-176.5495401262806
590.1037792363855,-2077.584716796875,52.07658185167283,-176.5478151566224
708.1245350836626,-2082.236328125,52.07658814647306,-176.5460901864768
826.1452909309397,-2087.507568359375,52.07659441609515,-176.5443652158456
944.1660467782168,-2094.178466796875,52.0766006605391,-176.542640244731
1062.186802625494,-2100.029052734375,52.07660687980487,-176.5409152731347
1180.207558472771,-2105.54443359375,52.07661307389247,-176.5391903010587
1298.2283143200482,-2112.233642578125,52.07661924280188,-176.537465328505
1416.2490701673253,-2119.82080078125,52.07662538653308,-176.5357403554756
1534.2698260146024,-2128.399169921875,52.07663150508608,-176.5340153819723
1652.2905818618794,-2132.751220703125,52.07663759846083,-176.5322904079971
1770.3113377091565,-2135.446533203125,52.07664366665736,-176.530565433552
1888.3320935564336,-2135.485595703125,52.07664970967562,-176.5288404586389
2006.3528494037107,-2131.91552734375,52.07665572751562,-176.5271154832598
2124.373605250988,-2127.2939453125,52.07666172017735,-176.5253905074166
2242.394361098265,-2126.79833984375,52.07666768766078,-176.5236655311112
2360.415116945542,-2127.251708984375,52.07667362996591,-176.5219405543456
2478.4358727928193,-2128.59814453125,52.07667954709273,-176.5202155771218
2596.4566286400964,-2131.052978515625,52.07668543904123,-176.5184905994417
2714.4773844873735,-2133.840087890625,52.07669130581137,-176.5167656213071
2832.4981403346505,-2137.125,52.07669714740318,-176.5150406427202
2950.5188961819276,-2140.4150390625,52.07670296381662,-176.5133156636828
3068.5396520292047,-2143.4775390625,52.07670875505169,-176.5115906841968
3186.560407876482,-2145.173583984375,52.07671452110837,-176.5098657042642
3304.581163723759,-2143.940185546875,52.07672026198666,-176.508140723887
3422.601919571036,-2140.3388671875,52.07672597768654,-176.5064157430672
3540.622675418313,-2134.6669921875,52.07673166820799,-176.5046907618065
3658.64343126559,-2129.103515625,52.07673733355102,-176.5029657801071
3776.6641871128672,-2123.876708984375,52.0767429737156,-176.5012407979708
3894.6849429601443,-2118.182373046875,52.07674858870173,-176.4995158153995
4012.7056988074214,-2111.955322265625,52.07675417850939,-176.4977908323954
4130.7264546546985,-2103.918212890625,52.07675974313856,-176.4960658489601
4248.747210501976,-2092.978271484375,52.07676528258926,-176.4943408650959
4366.767966349253,-2080.02978515625,52.07677079686145,-176.4926158808044
4484.78872219653,-2066.0966796875,52.07677628595512,-176.4908908960878
4602.809478043807,-2052.164794921875,52.07678174987028,-176.489165910948
4720.830233891084,-2038.23486328125,52.0767871886069,-176.4874409253869
4838.850989738361,-2022.42626953125,52.07679260216499,-176.4857159394064
4956.871745585639,-2005.82861328125,52.07679799054451,-176.4839909530085
5074.892501432915,-1987.946899414062,52.07680335374546,-176.4822659661952
5192.913257280193,-1969.432983398438,52.07680869176784,-176.4805409789683
5310.934013127469,-1950.587524414062,52.07681400461162,-176.4788159913299
5428.954768974747,-1932.350952148438,52.07681929227682,-176.4770910032819
5546.9755248220235,-1922.378540039062,52.07682455476339,-176.4753660148262
5664.996280669301,-1922.623901367188,52.07682979207135,-176.4736410259647
5783.017036516578,-1934.140014648438,52.07683500420067,-176.4719160366995
5901.037792363855,-1947.54296875,52.07684019115136,-176.4701910470324
6019.058548211132,-1960.902465820312,52.07684535292339,-176.4684660569655
6137.079304058409,-1973.223754882812,52.07685048951676,-176.4667410665006
6255.100059905686,-1984.949096679688,52.07685560093145,-176.4650160756397
6373.120815752964,-1995.740844726562,52.07686068716746,-176.4632910843847
6491.14157160024,-2006.968994140625,52.07686574822476,-176.4615660927377
6609.162327447518,-2018.677124023438,52.07687078410338,-176.4598411007005
6727.183083294794,-2033.598754882812,52.07687579480328,-176.458116108275
6845.203839142072,-2050.27978515625,52.07688078032444,-176.4563911154633
6963.224594989349,-2070.160400390625,52.07688574066687,-176.4546661222673
7081.245350836626,-2089.405029296875,52.07689067583057,-176.4529411286889
7199.266106683903,-2108.2490234375,52.07689558581549,-176.45121613473
7317.28686253118,-2126.098876953125,52.07690047062166,-176.4494911403927
7435.307618378457,-2143.27734375,52.07690533024905,-176.4477661456788
7553.3283742257345,-2159.843505859375,52.07691016469766,-176.4460411505903
7671.349130073012,-2172.815185546875,52.07691497396748,-176.4443161551292
7789.369885920289,-2183.653076171875,52.07691975805847,-176.4425911592974
7907.390641767566,-2190.858154296875,52.07692451697066,-176.4408661630968
8025.411397614843,-2193.665283203125,52.07692925070403,-176.4391411665294
8143.43215346212,-2194.338623046875,52.07693395925855,-176.4374161695972
8261.452909309397,-2191.48876953125,52.07693864263425,-176.4356911723019
8379.473665156675,-2187.67333984375,52.0769433008311,-176.4339661746458
8497.494421003952,-2183.109375,52.07694793384906,-176.4322411766306
8615.515176851228,-2175.5,52.07695254168816,-176.4305161782583
8733.535932698505,-2165.68017578125,52.07695712434838,-176.4287911795309
8851.556688545783,-2152.371826171875,52.07696168182971,-176.4270661804503
8969.57744439306,-2130.63623046875,52.07696621413213,-176.4253411810184
9087.598200240336,-2103.62255859375,52.07697072125566,-176.4236161812373
9205.618956087614,-2064.19677734375,52.07697520320026,-176.4218911811087
9323.639711934891,-2022.565307617188,52.07697965996594,-176.4201661806348
9441.660467782169,-1979.4775390625,52.07698409155267,-176.4184411798174
9559.681223629445,-1937.263427734375,52.07698849796046,-176.4167161786585
9677.701979476722,-1896.198364257812,52.07699287918929,-176.41499117716
9795.722735324,-1856.733764648438,52.07699723523916,-176.4132661753239
9913.743491171277,-1820.902587890625,52.07700156611007,-176.4115411731521
10031.764247018553,-1786.36767578125,52.07700587180199,-176.4098161706466
10149.78500286583,-1753.58544921875,52.07701015231491,-176.4080911678093
10267.805758713108,-1722.798583984375,52.07701440764885,-176.4063661646422
10385.826514560385,-1693.385009765625,52.07701863780377,-176.4046411611471
10503.847270407661,-1668.9521484375,52.07702284277968,-176.4029161573261
10621.868026254939,-1647.752685546875,52.07702702257656,-176.4011911531811
10739.888782102216,-1630.421752929688,52.07703117719441,-176.399466148714
10857.909537949494,-1625.580444335938,52.07703530663322,-176.3977411439268
10975.93029379677,-1622.94873046875,52.07703941089297,-176.3960161388215
11093.951049644047,-1620.928344726562,52.07704348997368,-176.3942911333999
11211.971805491325,-1616.494384765625,52.0770475438753,-176.3925661276641
11329.992561338602,-1610.032104492188,52.07705157259787,-176.3908411216158
11448.01331718588,-1594.234252929688,52.07705557614134,-176.3891161152573
11566.034073033155,-1576.783935546875,52.07705955450573,-176.3873911085903
11684.054828880433,-1557.64306640625,52.07706350769102,-176.3856661016168
11802.07558472771,-1537.557373046875,52.0770674356972,-176.3839410943388
11920.096340574988,-1517.1806640625,52.07707133852426,-176.3822160867581
12038.117096422264,-1496.37744140625,52.0770752161722,-176.3804910788768
12156.137852269541,-1475.889892578125,52.07707906864101,-176.3787660706968
12274.158608116819,-1455.897583007812,52.07708289593068,-176.37704106222
