"ID","Lon","Lat","Elev(ft)","Elev(m)"
138,-119.0916,37.5903,7264.90,2214.34
139,-119.0912,37.5906,7284.57,2220.34
140,-119.0908,37.5909,7286.27,2220.86
141,-119.0904,37.5912,7291.69,2222.51
142,-119.0899,37.5915,7295.93,2223.80
143,-119.0895,37.5918,7295.46,2223.66
144,-119.0891,37.5921,7291.69,2222.51
145,-119.0886,37.5924,7292.11,2222.64
146,-119.0882,37.5927,7299.10,2224.77
147,-119.0878,37.5930,7306.19,2226.93
148,-119.0874,37.5933,7318.06,2230.54
149,-119.0869,37.5936,7324.32,2232.45
150,-119.0865,37.5939,7327.01,2233.27
151,-119.0861,37.5942,7330.27,2234.27
152,-119.0857,37.5945,7336.90,2236.29
153,-119.0852,37.5948,7345.35,2238.86
154,-119.0848,37.5951,7364.91,2244.82
155,-119.0844,37.5954,7398.46,2255.05
156,-119.0840,37.5956,7425.59,2263.32
157,-119.0835,37.5959,7435.30,2266.28
158,-119.0831,37.5962,7447.83,2270.10
159,-119.0827,37.5965,7459.79,2273.74
160,-119.0823,37.5968,7478.34,2279.40
161,-119.0818,37.5971,7511.46,2289.49
162,-119.0814,37.5974,7540.45,2298.33
163,-119.0810,37.5977,7558.20,2303.74
164,-119.0806,37.5980,7566.27,2306.20
165,-119.0801,37.5983,7571.87,2307.91
166,-119.0797,37.5986,7590.09,2313.46
167,-119.0793,37.5989,7599.87,2316.44
168,-119.0788,37.5992,7614.84,2321.00
169,-119.0784,37.5995,7667.24,2336.97
170,-119.0780,37.5998,7685.53,2342.55
171,-119.0776,37.6001,7711.05,2350.33
172,-119.0771,37.6004,7723.54,2354.13
173,-119.0767,37.6007,7729.19,2355.86
174,-119.0763,37.6009,7739.81,2359.09
175,-119.0759,37.6012,7756.69,2364.24
176,-119.0754,37.6015,7769.67,2368.20
177,-119.0750,37.6018,7769.68,2368.20
178,-119.0746,37.6021,7773.38,2369.33
179,-119.0742,37.6024,7782.02,2371.96
180,-119.0737,37.6027,7790.41,2374.52
181,-119.0733,37.6030,7804.06,2378.68
182,-119.0729,37.6033,7817.68,2382.83
183,-119.0725,37.6036,7850.47,2392.82
184,-119.0720,37.6039,7885.99,2403.65
185,-119.0716,37.6042,7902.73,2408.75
186,-119.0712,37.6045,7930.54,2417.23
187,-119.0708,37.6048,7952.23,2423.84
188,-119.0703,37.6051,7978.97,2431.99
189,-119.0699,37.6054,8003.80,2439.56
190,-119.0695,37.6057,8032.25,2448.23
191,-119.0690,37.6060,8069.27,2459.51
192,-119.0686,37.6062,8097.45,2468.10
193,-119.0682,37.6065,8135.81,2479.79
194,-119.0678,37.6068,8154.99,2485.64
195,-119.0673,37.6071,8164.35,2488.49
196,-119.0669,37.6074,8175.59,2491.92
197,-119.0665,37.6077,8189.68,2496.21
198,-119.0661,37.6080,8211.12,2502.75
199,-119.0656,37.6083,8243.33,2512.57
200,-119.0652,37.6086,8273.10,2521.64
201,-119.0648,37.6089,8321.60,2536.42
202,-119.0644,37.6092,8355.57,2546.78
203,-119.0639,37.6095,8399.11,2560.05
204,-119.0635,37.6098,8422.98,2567.32
205,-119.0631,37.6101,8442.47,2573.26
206,-119.0627,37.6104,8472.46,2582.41
207,-119.0622,37.6107,8510.59,2594.03
208,-119.0618,37.6110,8547.29,2605.21
209,-119.0614,37.6113,8583.86,2616.36
210,-119.0610,37.6115,8618.76,2627.00
211,-119.0605,37.6118,8669.54,2642.48
212,-119.0601,37.6121,8696.01,2650.54
213,-119.0597,37.6124,8731.27,2661.29
214,-119.0592,37.6127,8755.84,2668.78
215,-119.0588,37.6130,8775.19,2674.68
216,-119.0584,37.6133,8794.94,2680.70
217,-119.0580,37.6136,8819.55,2688.20
218,-119.0575,37.6139,8850.67,2697.68
219,-119.0571,37.6142,8872.07,2704.21
220,-119.0567,37.6145,8883.49,2707.69
221,-119.0563,37.6148,8901.29,2713.11
222,-119.0558,37.6151,8919.62,2718.70
223,-119.0554,37.6154,8941.76,2725.45
224,-119.0550,37.6157,8969.39,2733.87
225,-119.0546,37.6160,8989.05,2739.86
226,-119.0541,37.6163,9008.37,2745.75
227,-119.0537,37.6166,9018.99,2748.99
228,-119.0533,37.6168,9036.61,2754.36
229,-119.0529,37.6171,9053.83,2759.61
230,-119.0524,37.6174,9063.63,2762.59
231,-119.0520,37.6177,9075.42,2766.19
232,-119.0516,37.6180,9088.52,2770.18
233,-119.0512,37.6183,9113.86,2777.90
234,-119.0507,37.6186,9128.49,2782.36
235,-119.0503,37.6189,9129.36,2782.63
236,-119.0499,37.6192,9143.29,2786.87
237,-119.0494,37.6195,9158.88,2791.63
238,-119.0490,37.6198,9177.94,2797.44
239,-119.0486,37.6201,9197.60,2803.43
240,-119.0482,37.6204,9206.60,2806.17
241,-119.0477,37.6207,9233.20,2814.28
242,-119.0473,37.6210,9247.36,2818.60
243,-119.0469,37.6213,9264.46,2823.81
244,-119.0465,37.6216,9296.52,2833.58
245,-119.0460,37.6219,9314.33,2839.01
246,-119.0456,37.6221,9338.79,2846.46
247,-119.0452,37.6224,9378.10,2858.44
248,-119.0448,37.6227,9409.31,2867.96
249,-119.0443,37.6230,9446.77,2879.38
250,-119.0439,37.6233,9476.92,2888.57
251,-119.0435,37.6236,9520.25,2901.77
252,-119.0431,37.6239,9560.92,2914.17
253,-119.0426,37.6242,9583.47,2921.04
254,-119.0422,37.6245,9620.24,2932.25
255,-119.0418,37.6248,9640.66,2938.47
256,-119.0414,37.6251,9680.11,2950.50
257,-119.0409,37.6254,9713.16,2960.57
258,-119.0405,37.6257,9791.49,2984.45
259,-119.0401,37.6260,9840.43,2999.36
260,-119.0396,37.6263,9904.66,3018.94
261,-119.0392,37.6266,9968.86,3038.51
262,-119.0388,37.6269,10029.47,3056.98
263,-119.0384,37.6272,10131.13,3087.97
264,-119.0379,37.6274,10224.73,3116.50
265,-119.0375,37.6277,10302.79,3140.29
266,-119.0371,37.6280,10379.74,3163.74
267,-119.0367,37.6283,10464.12,3189.46
268,-119.0362,37.6286,10542.08,3213.23
269,-119.0358,37.6289,10610.36,3234.04
