"ID","Lon","Lat","Elev(ft)","Elev(m)"
140,-152.6418,60.4852,3692.70,1125.53
141,-152.6378,60.4852,3109.66,947.82
142,-152.6337,60.4852,2520.18,768.15
143,-152.6297,60.4852,2065.70,629.63
144,-152.6257,60.4852,1874.14,571.24
145,-152.6217,60.4852,1772.18,540.16
146,-152.6177,60.4852,1748.51,532.95
147,-152.6137,60.4852,1649.45,502.75
148,-152.6096,60.4852,1931.17,588.62
149,-152.6056,60.4852,2246.78,684.82
150,-152.6016,60.4852,2441.40,744.14
151,-152.5976,60.4852,2671.13,814.16
152,-152.5936,60.4852,2999.62,914.28
153,-152.5896,60.4852,3144.91,958.57
154,-152.5855,60.4852,3252.85,991.47
155,-152.5815,60.4852,3480.25,1060.78
156,-152.5775,60.4852,3795.30,1156.81
157,-152.5735,60.4852,4001.91,1219.78
158,-152.5695,60.4852,4301.61,1311.13
159,-152.5655,60.4852,4426.31,1349.14
160,-152.5614,60.4852,3757.56,1145.30
161,-152.5574,60.4852,2941.92,896.70
162,-152.5534,60.4852,2614.59,796.93
163,-152.5494,60.4852,2366.93,721.44
164,-152.5454,60.4852,2211.67,674.12
165,-152.5414,60.4852,1953.66,595.48
166,-152.5373,60.4852,1641.96,500.47
167,-152.5333,60.4852,1263.52,385.12
168,-152.5293,60.4852,944.65,287.93
169,-152.5253,60.4852,796.36,242.73
170,-152.5213,60.4852,734.87,223.99
171,-152.5173,60.4852,719.50,219.30
172,-152.5133,60.4852,845.91,257.83
173,-152.5092,60.4852,1185.99,361.49
174,-152.5052,60.4852,1730.19,527.36
175,-152.5012,60.4852,2241.21,683.12
176,-152.4972,60.4852,2570.10,783.37
177,-152.4932,60.4852,2500.52,762.16
178,-152.4892,60.4852,2707.33,825.19
179,-152.4851,60.4852,3122.81,951.83
180,-152.4811,60.4852,3824.33,1165.66
181,-152.4771,60.4852,3267.85,996.04
182,-152.4731,60.4852,2856.94,870.80
183,-152.4691,60.4852,2575.10,784.89
184,-152.4651,60.4852,2287.91,697.35
185,-152.4610,60.4852,2103.80,641.24
186,-152.4570,60.4852,1823.68,555.86
187,-152.4530,60.4852,1546.35,471.33
188,-152.4490,60.4852,1677.12,511.19
189,-152.4450,60.4852,1573.23,479.52
190,-152.4410,60.4852,1664.40,507.31
191,-152.4369,60.4852,1813.55,552.77
192,-152.4329,60.4852,1763.86,537.62
193,-152.4289,60.4852,1684.29,513.37
194,-152.4249,60.4852,1692.17,515.77
195,-152.4209,60.4852,1537.72,468.70
196,-152.4169,60.4852,1448.58,441.53
197,-152.4129,60.4852,1399.38,426.53
198,-152.4088,60.4852,1365.92,416.33
199,-152.4048,60.4852,1348.01,410.87
200,-152.4008,60.4852,1287.22,392.34
201,-152.3968,60.4852,1291.67,393.70
202,-152.3928,60.4852,1342.91,409.32
203,-152.3888,60.4852,1319.74,402.26
204,-152.3847,60.4852,1334.27,406.69
205,-152.3807,60.4852,1094.21,333.52
206,-152.3767,60.4852,987.89,301.11
207,-152.3727,60.4852,878.90,267.89
208,-152.3687,60.4852,818.90,249.60
209,-152.3647,60.4852,739.92,225.53
210,-152.3606,60.4852,601.08,183.21
211,-152.3566,60.4852,525.75,160.25
212,-152.3526,60.4852,475.80,145.02
213,-152.3486,60.4852,424.93,129.52
214,-152.3446,60.4852,423.39,129.05
215,-152.3406,60.4852,390.17,118.92
216,-152.3365,60.4852,370.08,112.80
217,-152.3325,60.4852,350.88,106.95
218,-152.3285,60.4852,264.68,80.67
219,-152.3245,60.4852,114.99,35.05
220,-152.3205,60.4852,21.69,6.61
221,-152.3165,60.4852,7.70,2.35
222,-152.3124,60.4852,2.19,0.67
223,-152.3084,60.4852,1.02,0.31
224,-152.3044,60.4852,0.00,0.00
225,-152.3004,60.4852,0.00,0.00
226,-152.2964,60.4852,0.00,0.00
227,-152.2924,60.4852,0.00,0.00
228,-152.2884,60.4852,0.00,0.00
229,-152.2843,60.4852,0.00,0.00
230,-152.2803,60.4852,0.00,0.00
231,-152.2763,60.4852,0.00,0.00
232,-152.2723,60.4852,0.00,0.00
233,-152.2683,60.4852,0.00,0.00
234,-152.2643,60.4852,0.00,0.00
235,-152.2602,60.4852,0.00,0.00
236,-152.2562,60.4852,0.00,0.00
237,-152.2522,60.4852,0.00,0.00
238,-152.2482,60.4852,0.00,0.00
239,-152.2442,60.4852,0.00,0.00
240,-152.2402,60.4852,0.00,0.00
241,-152.2361,60.4852,0.00,0.00
242,-152.2321,60.4852,0.00,0.00
243,-152.2281,60.4852,0.00,0.00
244,-152.2241,60.4852,0.00,0.00
245,-152.2201,60.4852,0.00,0.00
246,-152.2161,60.4852,0.00,0.00
247,-152.2120,60.4852,0.00,0.00
248,-152.2080,60.4852,0.00,0.00
249,-152.2040,60.4852,0.00,0.00
250,-152.2000,60.4852,0.00,0.00
