"ID","Lon","Lat","Elev(ft)","Elev(m)"
138,-119.0916,37.6705,8781.67,2676.65
139,-119.0912,37.6702,8832.91,2692.27
140,-119.0908,37.6699,8866.53,2702.52
141,-119.0904,37.6696,8848.00,2696.87
142,-119.0899,37.6694,8788.55,2678.75
143,-119.0895,37.6691,8718.80,2657.49
144,-119.0891,37.6688,8637.02,2632.56
145,-119.0886,37.6685,8568.65,2611.72
146,-119.0882,37.6682,8500.38,2590.92
147,-119.0878,37.6679,8463.27,2579.60
148,-119.0874,37.6676,8428.74,2569.08
149,-119.0869,37.6673,8402.89,2561.20
150,-119.0865,37.6671,8390.66,2557.47
151,-119.0861,37.6668,8386.49,2556.20
152,-119.0857,37.6665,8368.73,2550.79
153,-119.0852,37.6662,8356.32,2547.01
154,-119.0848,37.6659,8346.66,2544.06
155,-119.0844,37.6656,8317.21,2535.09
156,-119.0840,37.6653,8298.85,2529.49
157,-119.0835,37.6650,8322.68,2536.75
158,-119.0831,37.6647,8338.23,2541.49
159,-119.0827,37.6645,8309.84,2532.84
160,-119.0823,37.6642,8251.08,2514.93
161,-119.0818,37.6639,8153.62,2485.22
162,-119.0814,37.6636,8031.97,2448.14
163,-119.0810,37.6633,7938.30,2419.59
164,-119.0806,37.6630,7896.38,2406.82
165,-119.0801,37.6627,7874.19,2400.05
166,-119.0797,37.6624,7856.75,2394.74
167,-119.0793,37.6622,7825.87,2385.33
168,-119.0788,37.6619,7802.53,2378.21
169,-119.0784,37.6616,7778.63,2370.93
170,-119.0780,37.6613,7801.41,2377.87
171,-119.0776,37.6610,7917.86,2413.36
172,-119.0771,37.6607,8002.98,2439.31
173,-119.0767,37.6604,8118.06,2474.38
174,-119.0763,37.6601,8130.77,2478.26
175,-119.0759,37.6598,8090.83,2466.08
176,-119.0754,37.6596,8093.65,2466.94
177,-119.0750,37.6593,8056.81,2455.72
178,-119.0746,37.6590,8026.07,2446.35
179,-119.0742,37.6587,8051.22,2454.01
180,-119.0737,37.6584,8018.54,2444.05
181,-119.0733,37.6581,7877.02,2400.92
182,-119.0729,37.6578,7847.47,2391.91
183,-119.0725,37.6575,7852.59,2393.47
184,-119.0720,37.6573,7859.10,2395.45
185,-119.0716,37.6570,7872.47,2399.53
186,-119.0712,37.6567,7938.65,2419.70
187,-119.0708,37.6564,8014.29,2442.76
188,-119.0703,37.6561,8189.68,2496.21
189,-119.0699,37.6558,8320.33,2536.04
190,-119.0695,37.6555,8383.90,2555.41
191,-119.0690,37.6552,8431.25,2569.85
192,-119.0686,37.6549,8457.89,2577.96
193,-119.0682,37.6547,8443.80,2573.67
194,-119.0678,37.6544,8375.54,2552.86
195,-119.0673,37.6541,8396.15,2559.15
196,-119.0669,37.6538,8430.72,2569.68
197,-119.0665,37.6535,8445.16,2574.08
198,-119.0661,37.6532,8498.76,2590.42
199,-119.0656,37.6529,8576.85,2614.22
200,-119.0652,37.6526,8627.17,2629.56
201,-119.0648,37.6524,8662.12,2640.21
202,-119.0644,37.6521,8692.30,2649.41
203,-119.0639,37.6518,8753.22,2667.98
204,-119.0635,37.6515,8843.40,2695.47
205,-119.0631,37.6512,8926.78,2720.88
206,-119.0627,37.6509,9037.65,2754.68
207,-119.0622,37.6506,9143.75,2787.02
208,-119.0618,37.6503,9204.17,2805.43
209,-119.0614,37.6501,9221.56,2810.73
210,-119.0610,37.6498,9224.66,2811.68
211,-119.0605,37.6495,9217.40,2809.46
212,-119.0601,37.6492,9210.71,2807.42
213,-119.0597,37.6489,9209.45,2807.04
214,-119.0592,37.6486,9211.77,2807.75
215,-119.0588,37.6483,9222.74,2811.09
216,-119.0584,37.6480,9240.31,2816.45
217,-119.0580,37.6477,9249.39,2819.21
218,-119.0575,37.6475,9280.52,2828.70
219,-119.0571,37.6472,9328.25,2843.25
220,-119.0567,37.6469,9367.11,2855.10
221,-119.0563,37.6466,9406.36,2867.06
222,-119.0558,37.6463,9447.78,2879.68
223,-119.0554,37.6460,9498.84,2895.25
224,-119.0550,37.6457,9571.42,2917.37
225,-119.0546,37.6454,9652.86,2942.19
226,-119.0541,37.6452,9591.41,2923.46
227,-119.0537,37.6449,9484.35,2890.83
228,-119.0533,37.6446,9390.29,2862.16
229,-119.0529,37.6443,9383.58,2860.12
230,-119.0524,37.6440,9409.18,2867.92
231,-119.0520,37.6437,9452.80,2881.21
232,-119.0516,37.6434,9493.39,2893.59
233,-119.0512,37.6431,9546.69,2909.83
234,-119.0507,37.6428,9601.67,2926.59
235,-119.0503,37.6426,9627.73,2934.53
236,-119.0499,37.6423,9658.70,2943.97
237,-119.0494,37.6420,9672.11,2948.06
238,-119.0490,37.6417,9684.59,2951.86
239,-119.0486,37.6414,9691.57,2953.99
240,-119.0482,37.6411,9693.77,2954.66
241,-119.0477,37.6408,9716.85,2961.70
242,-119.0473,37.6405,9733.79,2966.86
243,-119.0469,37.6403,9744.69,2970.18
244,-119.0465,37.6400,9751.82,2972.35
245,-119.0460,37.6397,9811.32,2990.49
246,-119.0456,37.6394,9876.89,3010.48
247,-119.0452,37.6391,9922.58,3024.40
248,-119.0448,37.6388,9946.46,3031.68
249,-119.0443,37.6385,9966.86,3037.90
250,-119.0439,37.6382,10051.99,3063.85
251,-119.0435,37.6379,10111.48,3081.98
252,-119.0431,37.6377,10141.90,3091.25
253,-119.0426,37.6374,10144.60,3092.07
254,-119.0422,37.6371,10156.66,3095.75
255,-119.0418,37.6368,10176.70,3101.86
256,-119.0414,37.6365,10196.47,3107.88
257,-119.0409,37.6362,10246.11,3123.01
258,-119.0405,37.6359,10291.78,3136.93
259,-119.0401,37.6356,10357.68,3157.02
260,-119.0396,37.6354,10426.49,3177.99
261,-119.0392,37.6351,10515.85,3205.23
262,-119.0388,37.6348,10595.28,3229.44
263,-119.0384,37.6345,10634.16,3241.29
264,-119.0379,37.6342,10622.58,3237.76
265,-119.0375,37.6339,10621.81,3237.53
266,-119.0371,37.6336,10611.60,3234.42
267,-119.0367,37.6333,10649.28,3245.90
268,-119.0362,37.6330,10729.84,3270.46
269,-119.0358,37.6328,10795.84,3290.57
270,-119.0354,37.6325,10835.89,3302.78
271,-119.0350,37.6322,10880.87,3316.49
272,-119.0345,37.6319,10915.65,3327.09
273,-119.0341,37.6316,10931.48,3331.92
274,-119.0337,37.6313,10942.95,3335.41
275,-119.0333,37.6310,10975.74,3345.41
276,-119.0328,37.6307,11010.22,3355.92
277,-119.0324,37.6305,11032.18,3362.61
278,-119.0320,37.6302,10979.33,3346.50
279,-119.0316,37.6299,10911.03,3325.68
280,-119.0311,37.6296,10831.02,3301.29
281,-119.0307,37.6293,10775.69,3284.43
282,-119.0303,37.6290,10763.62,3280.75
283,-119.0298,37.6287,10779.03,3285.45
284,-119.0294,37.6284,10788.46,3288.32
285,-119.0290,37.6281,10792.83,3289.65
286,-119.0286,37.6279,10759.85,3279.60
287,-119.0281,37.6276,10744.81,3275.02
288,-119.0277,37.6273,10722.87,3268.33
289,-119.0273,37.6270,10690.15,3258.36
290,-119.0269,37.6267,10644.96,3244.58
291,-119.0264,37.6264,10594.82,3229.30
292,-119.0260,37.6261,10537.64,3211.87
293,-119.0256,37.6258,10483.49,3195.37
294,-119.0252,37.6256,10418.18,3175.46
295,-119.0247,37.6253,10358.98,3157.42
296,-119.0243,37.6250,10292.63,3137.19
297,-119.0239,37.6247,10224.82,3116.53
298,-119.0235,37.6244,10148.09,3093.14
299,-119.0230,37.6241,10074.47,3070.70
300,-119.0226,37.6238,10011.27,3051.44
301,-119.0222,37.6235,9946.33,3031.64
302,-119.0218,37.6232,9874.05,3009.61
303,-119.0213,37.6230,9799.87,2987.00
304,-119.0209,37.6227,9748.76,2971.42
305,-119.0205,37.6224,9694.10,2954.76
306,-119.0201,37.6221,9628.61,2934.80
307,-119.0196,37.6218,9573.53,2918.01
308,-119.0192,37.6215,9526.50,2903.68
309,-119.0188,37.6212,9481.48,2889.96
310,-119.0183,37.6209,9443.92,2878.51
311,-119.0179,37.6207,9410.48,2868.31
312,-119.0175,37.6204,9361.52,2853.39
313,-119.0171,37.6201,9321.73,2841.26
314,-119.0166,37.6198,9270.33,2825.60
315,-119.0162,37.6195,9240.15,2816.40
316,-119.0158,37.6192,9212.38,2807.93
317,-119.0154,37.6189,9209.21,2806.97
318,-119.0149,37.6186,9199.56,2804.03
319,-119.0145,37.6183,9173.32,2796.03
320,-119.0141,37.6181,9121.35,2780.19
321,-119.0137,37.6178,9072.93,2765.43
322,-119.0132,37.6175,9010.34,2746.35
323,-119.0128,37.6172,8913.90,2716.96
324,-119.0124,37.6169,8786.87,2678.24
325,-119.0120,37.6166,8699.90,2651.73
326,-119.0115,37.6163,8658.71,2639.17
327,-119.0111,37.6160,8644.77,2634.93
328,-119.0107,37.6158,8632.98,2631.33
329,-119.0103,37.6155,8619.84,2627.33
330,-119.0098,37.6152,8606.61,2623.29
331,-119.0094,37.6149,8586.21,2617.08
332,-119.0090,37.6146,8584.36,2616.51
333,-119.0085,37.6143,8584.36,2616.51
334,-119.0081,37.6140,8584.36,2616.51
335,-119.0077,37.6137,8584.36,2616.51
336,-119.0073,37.6134,8593.91,2619.42
337,-119.0068,37.6132,8614.59,2625.73
338,-119.0064,37.6129,8636.97,2632.55
339,-119.0060,37.6126,8647.36,2635.72
340,-119.0056,37.6123,8651.87,2637.09
341,-119.0051,37.6120,8665.33,2641.19
342,-119.0047,37.6117,8747.65,2666.28
343,-119.0043,37.6114,8803.40,2683.28
344,-119.0039,37.6111,8826.47,2690.31
345,-119.0034,37.6109,8845.28,2696.04
346,-119.0030,37.6106,8856.57,2699.48
347,-119.0026,37.6103,8876.94,2705.69
348,-119.0022,37.6100,8895.94,2711.48
349,-119.0017,37.6097,8919.45,2718.65
350,-119.0013,37.6094,8933.19,2722.84
351,-119.0009,37.6091,8957.87,2730.36
352,-119.0005,37.6088,8978.25,2736.57
353,-119.0000,37.6085,8993.32,2741.16
354,-118.9996,37.6083,9020.68,2749.50
355,-118.9992,37.6080,9047.33,2757.63
356,-118.9987,37.6077,9119.42,2779.60
357,-118.9983,37.6074,9190.36,2801.22
358,-118.9979,37.6071,9242.33,2817.06
359,-118.9975,37.6068,9315.39,2839.33
360,-118.9970,37.6065,9344.93,2848.33
361,-118.9966,37.6062,9368.76,2855.60
362,-118.9962,37.6060,9387.10,2861.19
363,-118.9958,37.6057,9396.31,2864.00
364,-118.9953,37.6054,9421.48,2871.67
365,-118.9949,37.6051,9412.44,2868.91
366,-118.9945,37.6048,9431.84,2874.82
367,-118.9941,37.6045,9453.66,2881.48
368,-118.9936,37.6042,9459.40,2883.23
369,-118.9932,37.6039,9479.03,2889.21
370,-118.9928,37.6036,9482.61,2890.30
371,-118.9924,37.6034,9499.13,2895.33
372,-118.9919,37.6031,9514.57,2900.04
373,-118.9915,37.6028,9528.70,2904.35
374,-118.9911,37.6025,9549.36,2910.64
375,-118.9907,37.6022,9577.64,2919.26
376,-118.9902,37.6019,9613.02,2930.05
377,-118.9898,37.6016,9639.26,2938.05
378,-118.9894,37.6013,9687.39,2952.72
379,-118.9889,37.6011,9794.70,2985.42
380,-118.9885,37.6008,9857.24,3004.49
381,-118.9881,37.6005,9895.40,3016.12
382,-118.9877,37.6002,9917.93,3022.99
383,-118.9872,37.5999,9917.69,3022.91
384,-118.9868,37.5996,9920.19,3023.67
