"ID","Lon","Lat","Elev(ft)","Elev(m)"
396,-152.7438,60.4912,8962.21,2731.68
397,-152.7438,60.4932,8691.19,2649.07
398,-152.7438,60.4952,8525.02,2598.43
399,-152.7438,60.4972,7611.15,2319.88
400,-152.7438,60.4992,6806.30,2074.56
401,-152.7438,60.5012,6319.69,1926.24
402,-152.7438,60.5032,6004.31,1830.11
403,-152.7438,60.5052,5732.47,1747.26
404,-152.7438,60.5072,5400.35,1646.03
405,-152.7438,60.5092,5264.50,1604.62
406,-152.7438,60.5112,5098.70,1554.08
407,-152.7438,60.5133,5104.93,1555.98
408,-152.7438,60.5153,4933.88,1503.85
409,-152.7438,60.5173,4676.25,1425.32
410,-152.7438,60.5193,4357.39,1328.13
411,-152.7438,60.5213,4095.14,1248.20
412,-152.7438,60.5233,4157.49,1267.20
413,-152.7438,60.5253,4168.62,1270.60
414,-152.7438,60.5273,4027.04,1227.44
415,-152.7438,60.5293,3838.10,1169.85
416,-152.7438,60.5313,3659.04,1115.28
417,-152.7438,60.5333,3318.65,1011.52
418,-152.7438,60.5353,3003.53,915.48
419,-152.7438,60.5373,2713.69,827.13
420,-152.7438,60.5394,2225.70,678.39
421,-152.7438,60.5414,1728.35,526.80
422,-152.7438,60.5434,1385.43,422.28
423,-152.7438,60.5454,1459.54,444.87
424,-152.7438,60.5474,1384.17,421.90
425,-152.7438,60.5494,1327.13,404.51
426,-152.7438,60.5514,1461.09,445.34
427,-152.7438,60.5534,1370.76,417.81
428,-152.7438,60.5554,1404.07,427.96
429,-152.7438,60.5574,1354.54,412.86
430,-152.7438,60.5594,1317.66,401.62
431,-152.7438,60.5614,1286.52,392.13
432,-152.7438,60.5635,1282.51,390.91
433,-152.7438,60.5655,1216.61,370.82
434,-152.7438,60.5675,1137.33,346.66
435,-152.7438,60.5695,1038.96,316.68
436,-152.7438,60.5715,1304.47,397.60
437,-152.7438,60.5735,1823.48,555.80
438,-152.7438,60.5755,2593.25,790.42
439,-152.7438,60.5775,3072.16,936.39
440,-152.7438,60.5795,3208.34,977.90
441,-152.7438,60.5815,3154.11,961.37
442,-152.7438,60.5835,2820.31,859.63
443,-152.7438,60.5855,2726.16,830.93
444,-152.7438,60.5876,2502.27,762.69
445,-152.7438,60.5896,2272.57,692.68
