      Date	0	1	2	Total
2012/09/15	34	0	0	34
2012/09/16	3	0	0	3
2012/09/17	6	0	0	6
2012/09/18	1	0	0	1
2012/09/19	0	0	0	0
2012/09/20	3	0	0	3
2012/09/21	9	0	0	9
2012/09/22	2	0	0	2
2012/09/23	0	0	0	0
2012/09/24	0	1	2	3
2012/09/25	0	0	1	1
2012/09/26	0	0	0	0
2012/09/27	5	1	2	8
2012/09/28	6	1	1	8
2012/09/29	2	0	5	7
2012/09/30	0	0	4	4
2012/10/01	0	0	3	3
2012/10/02	0	0	0	0
2012/10/03	1	0	7	8
2012/10/04	0	0	8	8
2012/10/05	5	1	0	6
