2012-09-27 02:05:56.650000, ST02 HHZ JP , OklahomaSwarm2
2012-09-27 07:49:26.430000, ST02 HHZ JP , OklahomaSwarm2
2012-09-28 15:11:37.170000, ST02 HHZ JP , OklahomaSwarm2
2012-09-29 01:22:36.580000, ST02 HHZ JP , OklahomaSwarm2
2012-09-29 07:20:50.060000, ST02 HHZ JP , OklahomaSwarm2
2012-09-29 10:12:42.660000, ST02 HHZ JP , OklahomaSwarm2
2012-09-29 13:03:42.690000, ST02 HHZ JP , OklahomaSwarm2
2012-09-29 21:56:28.020000, ST02 HHZ JP , OklahomaSwarm2
2012-09-30 00:02:16.570000, ST02 HHZ JP , OklahomaSwarm2
2012-09-30 01:29:16.550000, ST02 HHZ JP , OklahomaSwarm2
2012-09-30 09:52:32.890000, ST02 HHZ JP , OklahomaSwarm2
2012-10-01 00:00:08.490000, ST02 HHZ JP , OklahomaSwarm2
2012-10-01 00:13:13.880000, ST02 HHZ JP , OklahomaSwarm2
2012-10-01 00:50:44.710000, ST02 HHZ JP , OklahomaSwarm2
2012-10-01 04:02:27.400000, ST02 HHZ JP , OklahomaSwarm2
2012-10-03 04:31:24.770000, ST02 HHZ JP , OklahomaSwarm2
2012-10-03 05:16:08.420000, ST02 HHZ JP , OklahomaSwarm2
2012-10-03 06:10:07.430000, ST02 HHZ JP , OklahomaSwarm2
2012-10-03 07:28:19.600000, ST02 HHZ JP , OklahomaSwarm2
2012-10-03 07:56:01.480000, ST02 HHZ JP , OklahomaSwarm2
2012-10-03 08:01:24.410000, ST02 HHZ JP , OklahomaSwarm2
2012-10-03 23:35:41.360000, ST02 HHZ JP , OklahomaSwarm2
2012-10-04 00:06:36.560000, ST02 HHZ JP , OklahomaSwarm2
2012-10-04 01:18:28.840000, ST02 HHZ JP , OklahomaSwarm2
2012-10-04 02:27:16.210000, ST02 HHZ JP , OklahomaSwarm2
2012-10-04 07:40:39.360000, ST02 HHZ JP , OklahomaSwarm2
2012-10-04 08:45:14.800000, ST02 HHZ JP , OklahomaSwarm2
2012-10-04 10:41:55.690000, ST02 HHZ JP , OklahomaSwarm2
2012-10-04 16:19:39.950000, ST02 HHZ JP , OklahomaSwarm2
2012-10-04 20:09:31.780000, ST02 HHZ JP , OklahomaSwarm2
