Client,Station,Network,Channels,Location,Latitude,Longitude,Elevation
IRIS,GSCK,AV,"BHE, BHN, BHZ",--,52.0108,-176.1640,384
IRIS,GSIG,AV,"BHE, BHN, BHZ",--,51.9853,-175.9270,407
IRIS,GSMY,AV,"BHE, BHN, BHZ",--,52.0421,-176.0583,418
IRIS,GSSP,AV,"BHE, BHN, BHZ",--,52.0917,-176.1777,295
IRIS,GSTD,AV,"BHE, BHN, BHZ",--,52.0548,-176.1468,873
IRIS,GSTR,AV,"BHE, BHN, BHZ",--,52.0932,-176.0611,536
