Client,Station,Network,Channels,Location,Latitude,Longitude,Elevation
IRIS,TANO,AV,BHZ,--,51.9146,-178.1228,269
IRIS,TACS,AV,EHZ,--,51.8621,-178.1414,918
IRIS,TASO,AV,BHZ,--,51.85355,-178.1453,690
IRIS,TAFP,AV,BHZ,--,51.899,-177.9853,440
IRIS,TASE,AV,BHZ,--,51.8339,-178.039,682
IRIS,TAPA,AV,BHZ,--,51.8144,-177.8148,640
IRIS,TAFL,AV,BHZ,--,51.7555,-177.8998,186
